TEAM_ID,TEAM_NAME,SEASON,W,L,W_PCT,PLUS_MINUS
1610612740,New Orleans Pelicans,2018-19,33,49,0.402,-109.0
1610612752,New York Knicks,2018-19,17,65,0.207,-755.0
1610612760,Oklahoma City Thunder,2018-19,49,33,0.598,279.0
1610612753,Orlando Magic,2018-19,42,40,0.512,58.0
1610612755,Philadelphia 76ers,2018-19,51,31,0.622,221.0
1610612756,Phoenix Suns,2018-19,19,63,0.232,-766.0
1610612757,Portland Trail Blazers,2018-19,53,29,0.646,344.0
1610612758,Sacramento Kings,2018-19,39,43,0.476,-92.0
1610612759,San Antonio Spurs,2018-19,48,34,0.585,138.0
1610612761,Toronto Raptors,2018-19,58,24,0.707,499.0
1610612762,Utah Jazz,2018-19,50,32,0.61,431.0
1610612764,Washington Wizards,2018-19,32,50,0.39,-238.0
1610612737,Atlanta Hawks,2017-18,24,58,0.293,-447.0
1610612738,Boston Celtics,2017-18,55,27,0.671,294.0
1610612751,Brooklyn Nets,2017-18,28,54,0.341,-307.0
1610612766,Charlotte Hornets,2017-18,36,46,0.439,21.0
1610612741,Chicago Bulls,2017-18,27,55,0.329,-577.0
1610612739,Cleveland Cavaliers,2017-18,50,32,0.61,77.0
1610612742,Dallas Mavericks,2017-18,24,58,0.293,-249.0
1610612743,Denver Nuggets,2017-18,46,36,0.561,121.0
1610612765,Detroit Pistons,2017-18,39,43,0.476,-12.0
1610612744,Golden State Warriors,2017-18,58,24,0.707,490.0
1610612745,Houston Rockets,2017-18,65,17,0.793,695.0
1610612754,Indiana Pacers,2017-18,48,34,0.585,113.0
1610612746,LA Clippers,2017-18,42,40,0.512,3.0
1610612747,Los Angeles Lakers,2017-18,35,47,0.427,-127.0
1610612763,Memphis Grizzlies,2017-18,22,60,0.268,-509.0
1610612748,Miami Heat,2017-18,44,38,0.537,39.0
1610612749,Milwaukee Bucks,2017-18,44,38,0.537,-25.0
1610612750,Minnesota Timberwolves,2017-18,47,35,0.573,183.0
1610612740,New Orleans Pelicans,2017-18,48,34,0.585,107.0
1610612752,New York Knicks,2017-18,29,53,0.354,-292.0
1610612760,Oklahoma City Thunder,2017-18,48,34,0.585,280.0
1610612753,Orlando Magic,2017-18,25,57,0.305,-395.0
1610612755,Philadelphia 76ers,2017-18,52,30,0.634,369.0
1610612756,Phoenix Suns,2017-18,21,61,0.256,-768.0
1610612757,Portland Trail Blazers,2017-18,49,33,0.598,213.0
1610612758,Sacramento Kings,2017-18,27,55,0.329,-573.0
1610612759,San Antonio Spurs,2017-18,47,35,0.573,237.0
1610612761,Toronto Raptors,2017-18,59,23,0.72,638.0
1610612762,Utah Jazz,2017-18,48,34,0.585,353.0
1610612764,Washington Wizards,2017-18,43,39,0.524,48.0
1610612737,Atlanta Hawks,2016-17,43,39,0.524,-70.0
1610612738,Boston Celtics,2016-17,53,29,0.646,216.0
1610612751,Brooklyn Nets,2016-17,20,62,0.244,-552.0
1610612766,Charlotte Hornets,2016-17,36,46,0.439,16.0
1610612741,Chicago Bulls,2016-17,41,41,0.5,35.0
1610612739,Cleveland Cavaliers,2016-17,51,31,0.622,261.0
1610612742,Dallas Mavericks,2016-17,33,49,0.402,-240.0
1610612743,Denver Nuggets,2016-17,40,42,0.488,42.0
1610612765,Detroit Pistons,2016-17,37,45,0.451,-92.0
1610612744,Golden State Warriors,2016-17,67,15,0.817,954.0
1610612745,Houston Rockets,2016-17,55,27,0.671,473.0
1610612754,Indiana Pacers,2016-17,42,40,0.512,-18.0
1610612746,LA Clippers,2016-17,51,31,0.622,352.0
1610612747,Los Angeles Lakers,2016-17,26,56,0.317,-564.0
1610612763,Memphis Grizzlies,2016-17,43,39,0.524,40.0
1610612748,Miami Heat,2016-17,41,41,0.5,87.0
1610612749,Milwaukee Bucks,2016-17,42,40,0.512,-15.0
1610612750,Minnesota Timberwolves,2016-17,31,51,0.378,-91.0
1610612740,New Orleans Pelicans,2016-17,34,48,0.415,-172.0
1610612752,New York Knicks,2016-17,31,51,0.378,-301.0
1610612760,Oklahoma City Thunder,2016-17,47,35,0.573,62.0
1610612753,Orlando Magic,2016-17,29,53,0.354,-539.0
1610612755,Philadelphia 76ers,2016-17,28,54,0.341,-467.0
1610612756,Phoenix Suns,2016-17,24,58,0.293,-462.0
1610612757,Portland Trail Blazers,2016-17,41,41,0.5,-43.0
1610612758,Sacramento Kings,2016-17,32,50,0.39,-318.0
1610612759,San Antonio Spurs,2016-17,61,21,0.744,590.0
1610612761,Toronto Raptors,2016-17,51,31,0.622,345.0
1610612762,Utah Jazz,2016-17,51,31,0.622,323.0
